UF_Ocorrencia,Grupo_Causa,Quantidade
SÃO PAULO,Doenças cardíaca pulmonar e da circulação pulmonar,4128
SÃO PAULO,Outras doenças dos intestinos,3869
SÃO PAULO,Insuficiência renal,3718
SÃO PAULO,Outras doenças por vírus,3079
SÃO PAULO,"Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto",2861
SÃO PAULO,Agressões,2690
SÃO PAULO,Lesões autoprovocadas intencionalmente,2613
SÃO PAULO,"Transtornos da vesícula biliar, das vias biliares e do pâncreas",2609
SÃO PAULO,Transtornos respiratórios e cardiovasculares específicos do período perinatal,2381
SÃO PAULO,Doenças pulmonares devidas a agentes externos,2080
SÃO PAULO,Outras doenças respiratórias que afetam principalmente o interstício,2027
SÃO PAULO,"Transtornos mentais orgânicos, inclusive os sintomáticos",1923
SÃO PAULO,Outras doenças do aparelho respiratório,1843
SÃO PAULO,Outras doenças do aparelho digestivo,1810
SÃO PAULO,Distúrbios metabólicos,1795
SÃO PAULO,Doença pelo vírus da imunodeficiência humana [HIV],1668
SÃO PAULO,"Doenças do esôfago, do estômago e do duodeno",1518
SÃO PAULO,Sintomas e sinais gerais,1438
SÃO PAULO,Infecções da pele e do tecido subcutâneo,1396
SÃO PAULO,Doenças extrapiramidais e transtornos dos movimentos,1318
SÃO PAULO,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,1265
SÃO PAULO,Tuberculose,1244
SÃO PAULO,Doenças infecciosas intestinais,1139
SÃO PAULO,Neoplasias [tumores] de comportamento incerto ou desconhecido,1094
SÃO PAULO,"Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte",1043
SÃO PAULO,Outros transtornos do sistema nervoso,1007
SÃO PAULO,Outras afecções da pele e do tecido subcutâneo,975
SÃO PAULO,Outros transtornos originados no período perinatal,913
SÃO PAULO,Doenças glomerulares,892
SÃO PAULO,Doenças devidas a protozoários,848
SÃO PAULO,Doenças renais túbulo-intersticiais,845
SÃO PAULO,Transtornos episódicos e paroxísticos,837
SÃO PAULO,Obesidade e outras formas de hiperalimentação,814
SÃO PAULO,Complicações de assistência médica e cirúrgica,775
SÃO PAULO,Malformações congênitas do aparelho circulatório,748
SÃO PAULO,Hérnias,685
SÃO PAULO,Desnutrição,643
SÃO PAULO,Sintomas e sinais relativos ao aparelho circulatório e respiratório,580
SÃO PAULO,Atrofias sistêmicas que afetam principalmente o sistema nervoso central,568
SÃO PAULO,Doenças inflamatórias do sistema nervoso central,559
SÃO PAULO,Outras doenças da pleura,541
SÃO PAULO,Anemias aplásticas e outras anemias,536
SÃO PAULO,Doenças do peritônio,529
SÃO PAULO,Infecções específicas do período perinatal,513
SÃO PAULO,Transtornos dos tecidos moles,454
SÃO PAULO,Osteopatias e condropatias,450
SÃO PAULO,Doenças reumáticas crônicas do coração,445
SÃO PAULO,Doenças dos órgãos genitais masculinos,409
SÃO PAULO,Anomalias cromossômicas não classificadas em outra parte,379
SÃO PAULO,Transtornos relacionados com a duração da gestação e com o crescimento fetal,371
SÃO PAULO,Hepatite viral,366
SÃO PAULO,Outras malformações congênitas,364
SÃO PAULO,Doenças sistêmicas do tecido conjuntivo,363
SÃO PAULO,Paralisia cerebral e outras síndromes paralíticas,355
SÃO PAULO,"Defeitos da coagulação, púrpura e outras afecções hemorrágicas",351
SÃO PAULO,Afecções necróticas e supurativas das vias aéreas inferiores,327
SÃO PAULO,Febres por arbovírus e febres hemorrágicas virais,321
SÃO PAULO,Artropatias,307
SÃO PAULO,Malformações congênitas do sistema nervoso,302
SÃO PAULO,Transtornos da glândula tireóide,251
SÃO PAULO,Enterites e colites não-infecciosas,232
SÃO PAULO,Outras infecções agudas das vias aéreas inferiores,214
SÃO PAULO,Outras doenças do sangue e dos órgãos hematopoéticos,208
SÃO PAULO,Neoplasias [tumores] benignas(os),200
SÃO PAULO,Sintomas e sinais relativos ao aparelho digestivo e ao abdome,193
SÃO PAULO,Doenças do apêndice,186
SÃO PAULO,Anemias hemolíticas,183
SÃO PAULO,Transtornos do aparelho digestivo do feto ou do recém-nascido,175
SÃO PAULO,"Esquizofrenia, transtornos esquizotípicos e transtornos delirantes",169
SÃO PAULO,Doenças da junção mioneural e dos músculos,167
SÃO PAULO,Malformações congênitas do aparelho respiratório,166
SÃO PAULO,Calculose renal,157
SÃO PAULO,Outros transtornos do rim e do ureter,148
SÃO PAULO,Polineuropatias e outros transtornos do sistema nervoso periférico,133
SÃO PAULO,Transtornos hemorrágicos e hematológicos do feto e do recém-nascido,127
SÃO PAULO,Seqüelas de doenças infecciosas e parasitárias,126
SÃO PAULO,Malformações e deformidades congênitas do sistema osteomuscular,125
SÃO PAULO,Anemias nutricionais,119
SÃO PAULO,Malformações congênitas do aparelho urinário,116
SÃO PAULO,Dorsopatias,114
SÃO PAULO,Micoses,114
SÃO PAULO,Doenças desmielinizantes do sistema nervoso central,108
SÃO PAULO,Outras malformações congênitas do aparelho digestivo,107
SÃO PAULO,Transtornos do humor [afetivos],107
SÃO PAULO,Infecções virais do sistema nervoso central,104
SÃO PAULO,Intervenções legais e operações de guerra,104
SÃO PAULO,Outras afecções obstétricas não classificadas em outra parte,104
SÃO PAULO,Outros transtornos da regulação da glicose e da secreção pancreática interna,93
SÃO PAULO,Outras doenças das vias aéreas superiores,90
SÃO PAULO,Seqüelas de causas externas de morbidade e de mortalidade,89
SÃO PAULO,Alguns transtornos que comprometem o mecanismo imunitário,86
SÃO PAULO,Infecções agudas das vias aéreas superiores,84
SÃO PAULO,Algumas doenças bacterianas zoonóticas,78
SÃO PAULO,"Outros transtornos, e os não especificados do aparelho circulatório",78
SÃO PAULO,Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,77
SÃO PAULO,Infecções de transmissão predominantemente sexual,74
SÃO PAULO,Doenças inflamatórias dos órgãos pélvicos femininos,70
SÃO PAULO,Infecções virais caracterizadas por lesões de pele e mucosas,67
SÃO PAULO,Helmintíases,63
SÃO PAULO,Doenças do ouvido médio e da mastóide,58
SÃO PAULO,Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido,55
SÃO PAULO,Afecções bolhosas,48
SÃO PAULO,Transtornos não-inflamatórios do trato genital feminino,43
SÃO PAULO,Transtornos de outras glândulas endócrinas,42
SÃO PAULO,Complicações do trabalho de parto e do parto,31
SÃO PAULO,Urticária e eritema,30
SÃO PAULO,"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério",28
SÃO PAULO,Febre reumática aguda,28
SÃO PAULO,Neoplasias [tumores] in situ,27
SÃO PAULO,"Doenças da cavidade oral, das glândulas salivares e dos maxilares",25
SÃO PAULO,Outras deficiências nutricionais,24
SÃO PAULO,Retardo mental,24
SÃO PAULO,Rickettsioses,24
SÃO PAULO,Complicações relacionadas predominantemente com o puerpério,22
SÃO PAULO,Gravidez que termina em aborto,20
SÃO PAULO,"Pediculose, acaríase e outras infestações",18
SÃO PAULO,Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto,17
SÃO PAULO,Sintomas e sinais relativos à pele e ao tecido subcutâneo,16
SÃO PAULO,Transtornos do desenvolvimento psicológico,15
SÃO PAULO,"Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes",15
SÃO PAULO,Dermatite e eczema,12
SÃO PAULO,Outras doenças infecciosas,11
SÃO PAULO,Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos,11
SÃO PAULO,Afecções pápulo-descamativas,10
SÃO PAULO,Outros transtornos maternos relacionados predominantemente com a gravidez,10
SÃO PAULO,Doenças da mama,9
SÃO PAULO,"Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico",8
SÃO PAULO,Doenças do ouvido externo,6
SÃO PAULO,Transtorno mental não especificado,6
SÃO PAULO,Doenças do ouvido interno,5
SÃO PAULO,Traumatismo de parto,4
SÃO PAULO,"Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento",3
SÃO PAULO,Malformações congênitas dos órgãos genitais,3
SÃO PAULO,"Transtornos da pálpebra, do aparelho lacrimal e da órbita",2
SÃO PAULO,"Transtornos dos nervos, das raízes e dos plexos nervosos",2
SÃO PAULO,"Achados anormais de exames de sangue, sem diagnóstico",2
SÃO PAULO,Sintomas e sinais relativos ao aparelho urinário,2
SÃO PAULO,Sintomas e sinais relativos aos sistemas nervoso e osteomuscular,2
SÃO PAULO,Fenda labial e fenda palatina,1
SÃO PAULO,Glaucoma,1
SÃO PAULO,Outras doenças causadas por clamídias,1
SÃO PAULO,Outros transtornos do sistema osteomuscular e do tecido conjuntivo,1
SÃO PAULO,Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência,1
SÃO PAULO,Transtornos do humor vítreo e do globo ocular,1
SÃO PAULO,"Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico",1
